Variables	ROC	Sens	Spec	ROCSD	SensSD	SpecSD	SEED	SeSpAve
12	0.9625	0.941666667	0.766666667	0.063495164	0.124536177	0.323465036	12	0.854166667
13	0.954166667	0.95	0.75	0.118585412	0.105409255	0.299175823	3	0.85
12	0.931944444	0.875	0.825	0.098959349	0.226520923	0.19424593	5	0.85
12	0.927083333	0.933333333	0.766666667	0.138628228	0.140545674	0.306312194	6	0.85
11	0.972222222	0.933333333	0.766666667	0.060006858	0.140545674	0.353116635	9	0.85
16	0.929861111	1	0.7	0.116499826	0	0.338387607	11	0.85
14	0.975	0.966666667	0.733333333	0.056245713	0.105409255	0.350924704	12	0.85
20	0.961111111	1	0.7	0.083024118	0	0.377205449	13	0.85
13	0.9625	0.891666667	0.808333333	0.063495164	0.184466197	0.314392418	14	0.85
11	0.947222222	0.908333333	0.791666667	0.060646381	0.149329778	0.148292754	19	0.85
11	0.943055556	0.95	0.741666667	0.119018405	0.105409255	0.300334176	3	0.845833333
17	0.9625	0.975	0.716666667	0.08436857	0.079056942	0.261170206	5	0.845833333
18	0.9625	0.975	0.716666667	0.08436857	0.079056942	0.172132593	5	0.845833333
15	0.961111111	0.966666667	0.725	0.083024118	0.105409255	0.272307243	10	0.845833333
12	0.932638889	0.941666667	0.75	0.086985924	0.124536177	0.342467445	16	0.845833333
17	0.929861111	0.933333333	0.75	0.140517077	0.210818511	0.372677996	2	0.841666667
13	0.957638889	0.916666667	0.766666667	0.082197115	0.136082763	0.23504662	4	0.841666667
12	0.923611111	0.975	0.708333333	0.117714649	0.079056942	0.281228566	11	0.841666667
11	0.925	0.9	0.783333333	0.11715799	0.161015297	0.312299318	18	0.841666667
19	0.970833333	0.95	0.725	0.062268088	0.105409255	0.272307243	3	0.8375
14	0.957638889	0.975	0.7	0.101136482	0.079056942	0.299691199	4	0.8375
11	0.933333333	0.933333333	0.741666667	0.140545674	0.140545674	0.300334176	6	0.8375
11	0.932638889	0.95	0.725	0.086985924	0.105409255	0.351473969	16	0.8375
16	0.95	0.975	0.7	0.158113883	0.079056942	0.377205449	18	0.8375
14	0.923611111	0.975	0.691666667	0.117714649	0.079056942	0.275126234	11	0.833333333
14	0.944444444	0.933333333	0.733333333	0.098861836	0.140545674	0.31377825	13	0.833333333
15	0.964583333	0.925	0.741666667	0.074826187	0.168737139	0.37360853	14	0.833333333
11	0.941666667	0.933333333	0.733333333	0.130585103	0.140545674	0.296064724	17	0.833333333
19	0.938888889	1	0.666666667	0.158113883	0	0.326315003	18	0.833333333
14	0.927777778	0.941666667	0.725	0.165738154	0.124536177	0.351473969	18	0.833333333
14	0.927777778	0.941666667	0.725	0.102439383	0.124536177	0.355837562	20	0.833333333
13	0.950694444	0.941666667	0.716666667	0.075680639	0.124536177	0.399073	8	0.829166667
17	0.975	0.925	0.733333333	0.056245713	0.237170825	0.31377825	12	0.829166667
12	0.933333333	0.933333333	0.725	0.129099445	0.140545674	0.314392418	17	0.829166667
11	0.988888889	0.866666667	0.783333333	0.035136418	0.322030594	0.264108096	2	0.825
13	0.947222222	0.9	0.75	0.132540079	0.224982853	0.372677996	2	0.825
